CoDIGO PERSONA;EMPRESA;EDAD;SEXO;SEGMENTO;SEGMENTO_PERSONAL;NACIONAL/ EXTRANJERO;AGRUPADOR;MES DE INICIO;TOTAL HORAS POR PERSONA;CAPACITACION_DE_PAGA;HORAS POR CURSO;CAPACIDAD;MODALIDAD;INVERSION PERCAPITA (US$);DOCENTE/INSTITUCIoN;ASISTENCIA
6501218;Rimac Seguros y Reasegrs;37;Femenino;Empleado;ADMINISTRATIVOS;NACIONAL;LEARNING;6;1;1;0;INNOVACION;VIRTUAL;0;CeSAR ACUÑA;FALTO
6500165;Rimac Seguros y Reasegrs;51;Femenino;Empleado;ADMINISTRATIVOS;NACIONAL;LEARNING;6;1;1;0;INNOVACION;VIRTUAL;0;CeSAR ACUÑA;FALTO
6540372;Rimac Seguros y Reasegrs;25;Masculino;Empleado;ADMINISTRATIVOS;NACIONAL;LEARNING;6;1;1;0;INNOVACION;VIRTUAL;0;CeSAR ACUÑA;FALTO
6504678;Rimac S.A. EPS;38;Femenino;Empleado;ADMINISTRATIVOS;NACIONAL;LEARNING;6;1;1;0;INNOVACION;VIRTUAL;0;CeSAR ACUÑA;FALTO
6540525;Rimac Seguros y Reasegrs;27;Masculino;Empleado;ADMINISTRATIVOS;NACIONAL;LEARNING;6;1;1;0;INNOVACION;VIRTUAL;0;CeSAR ACUÑA;FALTO
6506072;Rimac Seguros y Reasegrs;51;Masculino;Jefe;ADMINISTRATIVOS;NACIONAL;LEARNING;6;1;1;0;INNOVACION;VIRTUAL;0;CeSAR ACUÑA;FALTO
6500101;Rimac Seguros y Reasegrs;47;Masculino;Sub-Gerente;GERENCIAL;NACIONAL;LEARNING;6;1;1;0;INNOVACION;VIRTUAL;0;CeSAR ACUÑA;FALTO
6504779;Rimac S.A. EPS;34;Femenino;Empleado;ADMINISTRATIVOS;NACIONAL;LEARNING;6;1;1;0;INNOVACION;VIRTUAL;0;CeSAR ACUÑA;FALTO
6528279;Rimac S.A. EPS;28;Masculino;Empleado;ATENCION AL CLIENTE;NACIONAL;LEARNING;6;1;1;0;INNOVACION;VIRTUAL;0;CeSAR ACUÑA;FALTO
6528446;Rimac Seguros y Reasegrs;39;Femenino;Empleado FFVV;ATENCION AL CLIENTE;NACIONAL;LEARNING;6;1;1;0;INNOVACION;VIRTUAL;0;CeSAR ACUÑA;FALTO
6504708;Rimac S.A. EPS;39;Femenino;Empleado;ADMINISTRATIVOS;NACIONAL;LEARNING;6;1;1;0;INNOVACION;VIRTUAL;0;CeSAR ACUÑA;FALTO
6540585;Rimac Seguros y Reasegrs;39;Masculino;Empleado FFVV;ATENCION AL CLIENTE;NACIONAL;LEARNING;6;1;1;0;INNOVACION;VIRTUAL;0;CeSAR ACUÑA;FALTO
6540933;Rimac Seguros y Reasegrs;39;Femenino;Empleado FFVV;ATENCION AL CLIENTE;NACIONAL;LEARNING;6;1;1;0;INNOVACION;VIRTUAL;0;CeSAR ACUÑA;FALTO
6540626;Rimac Seguros y Reasegrs;48;Femenino;Empleado FFVV;ATENCION AL CLIENTE;NACIONAL;LEARNING;6;1;1;0;INNOVACION;VIRTUAL;0;CeSAR ACUÑA;FALTO
6540579;Rimac Seguros y Reasegrs;59;Femenino;Empleado FFVV;ATENCION AL CLIENTE;NACIONAL;LEARNING;6;1;1;0;INNOVACION;VIRTUAL;0;CeSAR ACUÑA;FALTO
6500347;Rimac Seguros y Reasegrs;43;Femenino;Sub-Gerente;GERENCIAL;NACIONAL;LEARNING;6;1;1;0;INNOVACION;VIRTUAL;0;CeSAR ACUÑA;FALTO
6501943;Rimac Seguros y Reasegrs;49;Femenino;Empleado FFVV;ATENCION AL CLIENTE;NACIONAL;LEARNING;6;1;1;0;INNOVACION;VIRTUAL;0;CeSAR ACUÑA;FALTO
6537082;Rimac Seguros y Reasegrs;30;Femenino;Empleado;ADMINISTRATIVOS;NACIONAL;LEARNING;6;1;1;0;INNOVACION;VIRTUAL;0;CeSAR ACUÑA;FALTO
6500638;Rimac Seguros y Reasegrs;36;Masculino;Sub-Gerente;GERENCIAL;NACIONAL;LEARNING;7;1;1;1;NEGOCIO;VIRTUAL;0;KURIOS;ASISTIO
6536815;Rimac Seguros y Reasegrs;45;Masculino;Jefe;ADMINISTRATIVOS;NACIONAL;LEARNING;7;1;1;0;NEGOCIO;VIRTUAL;0;KURIOS;ASISTIO
6500553;Rimac Seguros y Reasegrs;43;Masculino;Sub-Gerente;GERENCIAL;NACIONAL;LEARNING;7;1;1;0;NEGOCIO;VIRTUAL;0;KURIOS;ASISTIO
6500197;Rimac Seguros y Reasegrs;50;Femenino;Empleado;ADMINISTRATIVOS;NACIONAL;LEARNING;7;1;1;0;NEGOCIO;VIRTUAL;0;KURIOS;ASISTIO
6502544;Rimac Seguros y Reasegrs;33;Femenino;Empleado;ADMINISTRATIVOS;NACIONAL;LEARNING;7;1;1;0;NEGOCIO;VIRTUAL;0;KURIOS;ASISTIO
6540612;Rimac Seguros y Reasegrs;30;Femenino;Empleado FFVV;ATENCION AL CLIENTE;NACIONAL;LEARNING;7;1;1;0;NEGOCIO;VIRTUAL;0;KURIOS;ASISTIO
6538058;Rimac Seguros y Reasegrs;35;Femenino;Empleado;ADMINISTRATIVOS;NACIONAL;LEARNING;7;1;1;0;NEGOCIO;VIRTUAL;0;KURIOS;ASISTIO
6515693;Rimac Seguros y Reasegrs;33;Femenino;Empleado;ADMINISTRATIVOS;NACIONAL;LEARNING;7;1;1;0;NEGOCIO;VIRTUAL;0;KURIOS;ASISTIO
6542198;Rimac Seguros y Reasegrs;38;Femenino;Jefe;ADMINISTRATIVOS;NACIONAL;LEARNING;7;1;1;0;NEGOCIO;VIRTUAL;0;KURIOS;ASISTIO
6503306;Rimac Seguros y Reasegrs;42;Masculino;Jefe;ADMINISTRATIVOS;NACIONAL;LEARNING;7;1;1;0;NEGOCIO;VIRTUAL;0;KURIOS;ASISTIO
6508822;Rimac Seguros y Reasegrs;38;Masculino;Empleado;ADMINISTRATIVOS;NACIONAL;LEARNING;7;1;1;0;NEGOCIO;VIRTUAL;0;KURIOS;ASISTIO
6523755;Rimac S.A. EPS;40;Femenino;Empleado;ATENCION AL CLIENTE;NACIONAL;LEARNING;7;1;1;0;NEGOCIO;VIRTUAL;0;KURIOS;ASISTIO
6502057;Rimac Seguros y Reasegrs;35;Masculino;Jefe;ADMINISTRATIVOS;NACIONAL;LEARNING;7;1;1;0;NEGOCIO;VIRTUAL;0;KURIOS;ASISTIO
6501850;Rimac Seguros y Reasegrs;32;Masculino;Empleado;ADMINISTRATIVOS;NACIONAL;LEARNING;7;1;1;0;NEGOCIO;VIRTUAL;0;KURIOS;ASISTIO
6502663;Rimac Seguros y Reasegrs;38;Masculino;Empleado;ADMINISTRATIVOS;NACIONAL;LEARNING;7;1;1;0;NEGOCIO;VIRTUAL;0;KURIOS;ASISTIO
6504881;Rimac S.A. EPS;35;Femenino;Empleado;ADMINISTRATIVOS;NACIONAL;LEARNING;7;1;1;0;NEGOCIO;VIRTUAL;0;KURIOS;ASISTIO
6527264;Rimac Seguros y Reasegrs;47;Masculino;Empleado;ADMINISTRATIVOS;NACIONAL;LEARNING;7;1;1;0;NEGOCIO;VIRTUAL;0;KURIOS;ASISTIO
6521920;Rimac Seguros y Reasegrs;35;Femenino;Empleado;ADMINISTRATIVOS;NACIONAL;LEARNING;7;1;1;0;NEGOCIO;VIRTUAL;0;KURIOS;ASISTIO
6537832;Rimac Seguros y Reasegrs;28;Femenino;Jefe;ADMINISTRATIVOS;NACIONAL;LEARNING;7;1;1;0;NEGOCIO;VIRTUAL;0;KURIOS;ASISTIO
6539759;Rimac Seguros y Reasegrs;25;Masculino;Empleado;ADMINISTRATIVOS;NACIONAL;LEARNING;7;1;1;0;NEGOCIO;VIRTUAL;0;KURIOS;ASISTIO
6506073;Rimac Seguros y Reasegrs;35;Femenino;Empleado;ADMINISTRATIVOS;NACIONAL;LEARNING;7;1;1;0;NEGOCIO;VIRTUAL;0;KURIOS;ASISTIO
6504691;Rimac S.A. EPS;41;Femenino;Empleado;ADMINISTRATIVOS;NACIONAL;LEARNING;7;1;1;0;NEGOCIO;VIRTUAL;0;KURIOS;ASISTIO
6524384;Rimac Seguros y Reasegrs;32;Masculino;Empleado;ADMINISTRATIVOS;NACIONAL;LEARNING;7;1;1;0;NEGOCIO;VIRTUAL;0;KURIOS;ASISTIO
6533810;Rimac Seguros y Reasegrs;28;Femenino;Empleado;ADMINISTRATIVOS;NACIONAL;LEARNING;7;1;1;0;NEGOCIO;VIRTUAL;0;KURIOS;ASISTIO
6522624;Rimac Seguros y Reasegrs;32;Femenino;Empleado FFVV;ATENCION AL CLIENTE;NACIONAL;LEARNING;7;1;1;0;NEGOCIO;VIRTUAL;0;KURIOS;ASISTIO
6500589;Rimac Seguros y Reasegrs;43;Femenino;Jefe;ADMINISTRATIVOS;NACIONAL;LEARNING;7;1;1;0;NEGOCIO;VIRTUAL;0;KURIOS;ASISTIO
6536316;Rimac Seguros y Reasegrs;30;Femenino;Empleado;ADMINISTRATIVOS;NACIONAL;LEARNING;7;1;1;0;NEGOCIO;VIRTUAL;0;KURIOS;ASISTIO
6541616;Rimac Seguros y Reasegrs;43;Masculino;Jefe;ADMINISTRATIVOS;NACIONAL;LEARNING;7;1;1;0;NEGOCIO;VIRTUAL;0;KURIOS;ASISTIO
6532806;Rimac Seguros y Reasegrs;48;Femenino;Jefe;ADMINISTRATIVOS;NACIONAL;LEARNING;7;1;1;0;NEGOCIO;VIRTUAL;0;KURIOS;ASISTIO
6507311;Rimac Seguros y Reasegrs;36;Masculino;Jefe;ADMINISTRATIVOS;NACIONAL;LEARNING;7;1;1;0;NEGOCIO;VIRTUAL;0;KURIOS;ASISTIO
6500190;Rimac Seguros y Reasegrs;48;Masculino;Empleado;ADMINISTRATIVOS;NACIONAL;LEARNING;7;1;1;0;NEGOCIO;VIRTUAL;0;KURIOS;ASISTIO
6540716;Rimac Seguros y Reasegrs;27;Femenino;Empleado;ADMINISTRATIVOS;NACIONAL;LEARNING;7;1;1;0;NEGOCIO;VIRTUAL;0;KURIOS;ASISTIO
6500754;Rimac Seguros y Reasegrs;37;Femenino;Jefe;ADMINISTRATIVOS;NACIONAL;LEARNING;7;1;1;0;NEGOCIO;VIRTUAL;0;KURIOS;ASISTIO
6542232;Rimac Seguros y Reasegrs;41;Femenino;Gerente;GERENCIAL;NACIONAL;LEARNING;7;1;1;0;NEGOCIO;VIRTUAL;0;KURIOS;ASISTIO
6539751;Rimac Seguros y Reasegrs;25;Masculino;Empleado;ADMINISTRATIVOS;NACIONAL;LEARNING;7;1;1;0;NEGOCIO;VIRTUAL;0;KURIOS;ASISTIO
6533356;Rimac Seguros y Reasegrs;29;Masculino;Empleado;ADMINISTRATIVOS;NACIONAL;LEARNING;7;1;1;0;NEGOCIO;VIRTUAL;0;KURIOS;ASISTIO
6540722;Rimac Seguros y Reasegrs;31;Masculino;Jefe;ADMINISTRATIVOS;NACIONAL;LEARNING;7;1;1;0;NEGOCIO;VIRTUAL;0;KURIOS;ASISTIO
6502315;Rimac Seguros y Reasegrs;32;Femenino;Empleado;ADMINISTRATIVOS;NACIONAL;LEARNING;7;1;1;0;NEGOCIO;VIRTUAL;0;KURIOS;ASISTIO
6533056;Rimac Seguros y Reasegrs;38;Femenino;Jefe;ADMINISTRATIVOS;NACIONAL;LEARNING;7;1;1;0;NEGOCIO;VIRTUAL;0;KURIOS;ASISTIO
6540097;Rimac Seguros y Reasegrs;29;Masculino;Empleado;ADMINISTRATIVOS;NACIONAL;LEARNING;7;1;1;0;NEGOCIO;VIRTUAL;0;KURIOS;ASISTIO
6539441;Rimac Seguros y Reasegrs;26;Femenino;Empleado;ADMINISTRATIVOS;NACIONAL;LEARNING;7;1;1;0;NEGOCIO;VIRTUAL;0;KURIOS;ASISTIO
6537818;Rimac Seguros y Reasegrs;35;Masculino;Jefe;ADMINISTRATIVOS;NACIONAL;LEARNING;7;1;1;0;NEGOCIO;VIRTUAL;0;KURIOS;ASISTIO
6504093;Rimac Seguros y Reasegrs;43;Femenino;Jefe;ADMINISTRATIVOS;NACIONAL;LEARNING;7;1;1;0;NEGOCIO;VIRTUAL;0;KURIOS;ASISTIO
6501440;Rimac Seguros y Reasegrs;35;Masculino;Empleado;ADMINISTRATIVOS;NACIONAL;LEARNING;7;1;1;0;NEGOCIO;VIRTUAL;0;KURIOS;ASISTIO
6502077;Rimac Seguros y Reasegrs;43;Femenino;Sub-Gerente;GERENCIAL;NACIONAL;LEARNING;7;1;1;0;NEGOCIO;VIRTUAL;0;KURIOS;ASISTIO
6511275;Rimac S.A. EPS;45;Femenino;Empleado;ADMINISTRATIVOS;NACIONAL;LEARNING;7;1;1;0;NEGOCIO;VIRTUAL;0;KURIOS;ASISTIO
6540899;Rimac Seguros y Reasegrs;30;Masculino;Empleado;ADMINISTRATIVOS;NACIONAL;LEARNING;7;1;1;0;NEGOCIO;VIRTUAL;0;KURIOS;ASISTIO
6500995;Rimac Seguros y Reasegrs;41;Masculino;Empleado;ADMINISTRATIVOS;NACIONAL;LEARNING;7;1;1;0;NEGOCIO;VIRTUAL;0;KURIOS;ASISTIO
6500894;Rimac Seguros y Reasegrs;53;Masculino;Jefe;ADMINISTRATIVOS;NACIONAL;LEARNING;7;1;1;0;NEGOCIO;VIRTUAL;0;KURIOS;ASISTIO
6524488;Rimac Seguros y Reasegrs;30;Masculino;Empleado;ADMINISTRATIVOS;NACIONAL;LEARNING;7;1;1;0;NEGOCIO;VIRTUAL;0;KURIOS;ASISTIO
6501404;Rimac Seguros y Reasegrs;42;Femenino;Jefe;ADMINISTRATIVOS;NACIONAL;LEARNING;7;1;1;0;NEGOCIO;VIRTUAL;0;KURIOS;ASISTIO
6540372;Rimac Seguros y Reasegrs;25;Masculino;Empleado;ADMINISTRATIVOS;NACIONAL;LEARNING;7;1;1;0;NEGOCIO;VIRTUAL;0;KURIOS;ASISTIO
6511274;Rimac S.A. EPS;40;Femenino;Empleado;ADMINISTRATIVOS;NACIONAL;LEARNING;7;1;1;0;NEGOCIO;VIRTUAL;0;KURIOS;ASISTIO
6538330;Rimac Seguros y Reasegrs;42;Masculino;Jefe;ADMINISTRATIVOS;NACIONAL;LEARNING;7;1;1;0;NEGOCIO;VIRTUAL;0;KURIOS;ASISTIO
6540578;Rimac Seguros y Reasegrs;24;Femenino;Empleado;ADMINISTRATIVOS;NACIONAL;LEARNING;7;1;1;0;NEGOCIO;VIRTUAL;0;KURIOS;ASISTIO
6523847;Rimac S.A. EPS;38;Masculino;Empleado;ADMINISTRATIVOS;NACIONAL;LEARNING;7;1;1;0;NEGOCIO;VIRTUAL;0;KURIOS;ASISTIO
6541437;Rimac S.A. EPS;45;Femenino;Empleado;ADMINISTRATIVOS;NACIONAL;LEARNING;7;1;1;0;NEGOCIO;VIRTUAL;0;KURIOS;ASISTIO
6504884;Rimac S.A. EPS;37;Masculino;Empleado;ADMINISTRATIVOS;NACIONAL;LEARNING;7;1;1;0;NEGOCIO;VIRTUAL;0;KURIOS;ASISTIO
6504873;Rimac S.A. EPS;32;Femenino;Empleado;ADMINISTRATIVOS;NACIONAL;LEARNING;7;1;1;0;NEGOCIO;VIRTUAL;0;KURIOS;ASISTIO
6504692;Rimac S.A. EPS;44;Femenino;Empleado;ADMINISTRATIVOS;NACIONAL;LEARNING;7;1;1;0;NEGOCIO;VIRTUAL;0;KURIOS;ASISTIO
6504703;Rimac S.A. EPS;44;Femenino;Empleado;ADMINISTRATIVOS;NACIONAL;LEARNING;7;1;1;0;NEGOCIO;VIRTUAL;0;KURIOS;ASISTIO
6541436;Rimac S.A. EPS;55;Femenino;Empleado;ADMINISTRATIVOS;NACIONAL;LEARNING;7;1;1;0;NEGOCIO;VIRTUAL;0;KURIOS;ASISTIO
6541434;Rimac S.A. EPS;52;Femenino;Jefe;ADMINISTRATIVOS;NACIONAL;LEARNING;7;1;1;0;NEGOCIO;VIRTUAL;0;KURIOS;ASISTIO
6536843;Rimac Seguros y Reasegrs;41;Masculino;Sub-Gerente;GERENCIAL;NACIONAL;LEARNING;7;1;1;0;NEGOCIO;VIRTUAL;0;KURIOS;ASISTIO
6540771;Rimac Seguros y Reasegrs;44;Masculino;Gerente;GERENCIAL;NACIONAL;LEARNING;7;1;1;0;NEGOCIO;VIRTUAL;0;KURIOS;ASISTIO
6504544;Rimac S.A. EPS;46;Femenino;Empleado;ADMINISTRATIVOS;NACIONAL;LEARNING;7;1;1;0;NEGOCIO;VIRTUAL;0;KURIOS;ASISTIO
6514898;Rimac S.A. EPS;43;Masculino;Empleado;ADMINISTRATIVOS;NACIONAL;LEARNING;7;1;1;0;NEGOCIO;VIRTUAL;0;KURIOS;ASISTIO
6539448;Rimac Seguros y Reasegrs;25;Masculino;Jefe;ADMINISTRATIVOS;NACIONAL;LEARNING;7;1;1;0;NEGOCIO;VIRTUAL;0;KURIOS;ASISTIO
6537813;Rimac S.A. EPS;39;Femenino;Empleado;ADMINISTRATIVOS;NACIONAL;LEARNING;7;1;1;0;NEGOCIO;VIRTUAL;0;KURIOS;ASISTIO
6500480;Rimac Seguros y Reasegrs;38;Femenino;Empleado;ADMINISTRATIVOS;NACIONAL;LEARNING;7;1;1;0;NEGOCIO;VIRTUAL;0;KURIOS;ASISTIO
6532410;Rimac Seguros y Reasegrs;34;Masculino;Empleado;ADMINISTRATIVOS;NACIONAL;LEARNING;7;1;1;0;NEGOCIO;VIRTUAL;0;KURIOS;ASISTIO
6502623;Rimac Seguros y Reasegrs;34;Masculino;Jefe;ADMINISTRATIVOS;NACIONAL;LEARNING;7;1;1;0;NEGOCIO;VIRTUAL;0;KURIOS;ASISTIO
6504699;Rimac S.A. EPS;50;Femenino;Empleado;ADMINISTRATIVOS;NACIONAL;LEARNING;7;1;1;0;NEGOCIO;VIRTUAL;0;KURIOS;ASISTIO
6504795;Rimac S.A. EPS;45;Femenino;Empleado;ADMINISTRATIVOS;NACIONAL;LEARNING;7;1;1;0;NEGOCIO;VIRTUAL;0;KURIOS;ASISTIO
6506765;Rimac S.A. EPS;44;Masculino;Empleado;ADMINISTRATIVOS;NACIONAL;LEARNING;7;1;1;0;NEGOCIO;VIRTUAL;0;KURIOS;ASISTIO
6504694;Rimac S.A. EPS;51;Femenino;Empleado;ADMINISTRATIVOS;NACIONAL;LEARNING;7;1;1;0;NEGOCIO;VIRTUAL;0;KURIOS;ASISTIO
6504624;Rimac S.A. EPS;42;Femenino;Empleado;ADMINISTRATIVOS;NACIONAL;LEARNING;7;1;1;0;NEGOCIO;VIRTUAL;0;KURIOS;ASISTIO
6541296;Rimac Seguros y Reasegrs;22;Masculino;Empleado;ADMINISTRATIVOS;NACIONAL;LEARNING;7;1;1;0;NEGOCIO;VIRTUAL;0;KURIOS;ASISTIO
6508562;Rimac Seguros y Reasegrs;35;Masculino;Empleado;ADMINISTRATIVOS;NACIONAL;LEARNING;7;1;1;0;NEGOCIO;VIRTUAL;0;KURIOS;ASISTIO
6533932;Rimac Seguros y Reasegrs;30;Femenino;Jefe;ADMINISTRATIVOS;NACIONAL;LEARNING;7;1;1;0;NEGOCIO;VIRTUAL;0;KURIOS;ASISTIO
6540896;Rimac Seguros y Reasegrs;35;Masculino;Jefe;ADMINISTRATIVOS;NACIONAL;LEARNING;7;1;1;0;NEGOCIO;VIRTUAL;0;KURIOS;ASISTIO
6539734;Rimac Seguros y Reasegrs;30;Masculino;Jefe;ADMINISTRATIVOS;NACIONAL;LEARNING;7;1;1;0;NEGOCIO;VIRTUAL;0;KURIOS;ASISTIO
6541607;Rimac S.A. EPS;22;Femenino;Practicante;PRACTICANTE;NACIONAL;LEARNING;7;1;1;0;NEGOCIO;VIRTUAL;0;KURIOS;ASISTIO
6541422;Rimac Seguros y Reasegrs;27;Masculino;Empleado;ADMINISTRATIVOS;NACIONAL;LEARNING;7;1;1;0;NEGOCIO;VIRTUAL;0;KURIOS;ASISTIO
6541426;Rimac Seguros y Reasegrs;24;Femenino;Empleado;ADMINISTRATIVOS;NACIONAL;LEARNING;7;1;1;0;NEGOCIO;VIRTUAL;0;KURIOS;ASISTIO
6502777;Rimac Seguros y Reasegrs;42;Femenino;Empleado;ADMINISTRATIVOS;NACIONAL;LEARNING;7;1;1;0;NEGOCIO;VIRTUAL;0;KURIOS;ASISTIO
6541668;Rimac Seguros y Reasegrs;27;Femenino;Empleado;ADMINISTRATIVOS;NACIONAL;LEARNING;7;1;1;0;NEGOCIO;VIRTUAL;0;KURIOS;ASISTIO
6536822;Rimac Seguros y Reasegrs;30;Femenino;Jefe;ADMINISTRATIVOS;NACIONAL;LEARNING;7;1;1;0;NEGOCIO;VIRTUAL;0;KURIOS;ASISTIO
6542384;Rimac Seguros y Reasegrs;26;Femenino;Empleado;ADMINISTRATIVOS;NACIONAL;LEARNING;7;1;1;0;NEGOCIO;VIRTUAL;0;KURIOS;ASISTIO
6500494;Rimac Seguros y Reasegrs;44;Femenino;Empleado;ADMINISTRATIVOS;NACIONAL;LEARNING;7;1;1;0;NEGOCIO;VIRTUAL;0;KURIOS;ASISTIO
6501713;Rimac Seguros y Reasegrs;36;Masculino;Jefe;ADMINISTRATIVOS;NACIONAL;LEARNING;7;1;1;0;NEGOCIO;VIRTUAL;0;KURIOS;ASISTIO
6500953;Rimac Seguros y Reasegrs;39;Femenino;Empleado;ADMINISTRATIVOS;NACIONAL;LEARNING;7;1;1;0;NEGOCIO;VIRTUAL;0;KURIOS;ASISTIO
6540133;Rimac Seguros y Reasegrs;26;Masculino;Empleado;ADMINISTRATIVOS;NACIONAL;LEARNING;7;1;1;0;NEGOCIO;VIRTUAL;0;KURIOS;ASISTIO
6541476;Rimac Seguros y Reasegrs;47;Masculino;Empleado FFVV;ATENCION AL CLIENTE;NACIONAL;LEARNING;7;1;1;0;NEGOCIO;VIRTUAL;0;KURIOS;ASISTIO
6532777;Rimac Seguros y Reasegrs;43;Femenino;Jefe;ADMINISTRATIVOS;NACIONAL;LEARNING;7;1;1;0;NEGOCIO;VIRTUAL;0;KURIOS;ASISTIO
6539487;Rimac Seguros y Reasegrs;26;Femenino;Empleado;ADMINISTRATIVOS;NACIONAL;LEARNING;7;1;1;0;NEGOCIO;VIRTUAL;0;KURIOS;ASISTIO
6500466;Rimac Seguros y Reasegrs;38;Masculino;Empleado;ADMINISTRATIVOS;NACIONAL;LEARNING;7;1;1;0;NEGOCIO;VIRTUAL;0;KURIOS;ASISTIO
6500325;Rimac Seguros y Reasegrs;45;Masculino;Jefe;ADMINISTRATIVOS;NACIONAL;LEARNING;7;1;1;0;NEGOCIO;VIRTUAL;0;KURIOS;ASISTIO
6536856;Rimac Seguros y Reasegrs;28;Masculino;Empleado;ADMINISTRATIVOS;NACIONAL;LEARNING;7;1;1;0;NEGOCIO;VIRTUAL;0;KURIOS;ASISTIO
6507356;Rimac Seguros y Reasegrs;34;Femenino;Sub-Gerente;GERENCIAL;NACIONAL;LEARNING;7;1;1;0;NEGOCIO;VIRTUAL;0;KURIOS;ASISTIO
6540755;Rimac Seguros y Reasegrs;30;Masculino;Empleado;ADMINISTRATIVOS;NACIONAL;LEARNING;7;1;1;0;NEGOCIO;VIRTUAL;0;KURIOS;ASISTIO
6528281;Rimac Seguros y Reasegrs;30;Masculino;Sub-Gerente;GERENCIAL;NACIONAL;LEARNING;7;1;1;0;NEGOCIO;VIRTUAL;0;KURIOS;ASISTIO
6528300;Rimac Seguros y Reasegrs;29;Masculino;Sub-Gerente;GERENCIAL;NACIONAL;LEARNING;7;1;1;0;NEGOCIO;VIRTUAL;0;KURIOS;ASISTIO
6532673;Rimac Seguros y Reasegrs;27;Masculino;Empleado;ADMINISTRATIVOS;NACIONAL;LEARNING;7;1;1;0;NEGOCIO;VIRTUAL;0;KURIOS;ASISTIO
6540168;Rimac Seguros y Reasegrs;40;Femenino;Empleado FFVV;ATENCION AL CLIENTE;NACIONAL;LEARNING;7;1;1;0;NEGOCIO;VIRTUAL;0;KURIOS;ASISTIO
6516073;Rimac Seguros y Reasegrs;54;Masculino;Empleado FFVV;ATENCION AL CLIENTE;NACIONAL;LEARNING;7;1;1;0;NEGOCIO;VIRTUAL;0;KURIOS;ASISTIO
6500682;Rimac Seguros y Reasegrs;51;Masculino;Empleado FFVV;ATENCION AL CLIENTE;NACIONAL;LEARNING;7;1;1;0;NEGOCIO;VIRTUAL;0;KURIOS;ASISTIO
6540304;Rimac S.A. EPS;33;Femenino;Empleado;ADMINISTRATIVOS;NACIONAL;LEARNING;7;1;1;0;NEGOCIO;VIRTUAL;0;KURIOS;ASISTIO
6503577;Rimac Seguros y Reasegrs;31;Masculino;Jefe;ADMINISTRATIVOS;NACIONAL;LEARNING;7;1;1;0;NEGOCIO;VIRTUAL;0;KURIOS;ASISTIO
6525019;Rimac Seguros y Reasegrs;39;Femenino;Jefe;ADMINISTRATIVOS;NACIONAL;LEARNING;7;1;1;0;NEGOCIO;VIRTUAL;0;KURIOS;ASISTIO
6502661;Rimac Seguros y Reasegrs;43;Masculino;Empleado;ADMINISTRATIVOS;NACIONAL;LEARNING;7;1;1;0;NEGOCIO;VIRTUAL;0;KURIOS;ASISTIO
6542379;Rimac Seguros y Reasegrs;30;Femenino;Jefe;ADMINISTRATIVOS;NACIONAL;LEARNING;7;1;1;0;NEGOCIO;VIRTUAL;0;KURIOS;ASISTIO
6504244;Rimac Seguros y Reasegrs;39;Masculino;Jefe;ADMINISTRATIVOS;NACIONAL;LEARNING;7;1;1;0;NEGOCIO;VIRTUAL;0;KURIOS;ASISTIO
6532260;Rimac Seguros y Reasegrs;26;Femenino;Empleado;ADMINISTRATIVOS;NACIONAL;LEARNING;7;1;1;0;NEGOCIO;VIRTUAL;0;KURIOS;ASISTIO
6503440;Rimac Seguros y Reasegrs;40;Femenino;Empleado;ADMINISTRATIVOS;NACIONAL;LEARNING;7;1;1;0;NEGOCIO;VIRTUAL;0;KURIOS;ASISTIO
6502149;Rimac Seguros y Reasegrs;42;Femenino;Empleado;ADMINISTRATIVOS;NACIONAL;LEARNING;7;1;1;0;NEGOCIO;VIRTUAL;0;KURIOS;ASISTIO
6541025;Rimac Seguros y Reasegrs;38;Femenino;Jefe;ADMINISTRATIVOS;NACIONAL;LEARNING;7;1;1;0;NEGOCIO;VIRTUAL;0;KURIOS;ASISTIO
6502220;Rimac Seguros y Reasegrs;39;Masculino;Empleado;ADMINISTRATIVOS;NACIONAL;LEARNING;7;1;1;0;NEGOCIO;VIRTUAL;0;KURIOS;ASISTIO
6526146;Rimac Seguros y Reasegrs;28;Masculino;Empleado;ADMINISTRATIVOS;NACIONAL;LEARNING;7;1;1;0;NEGOCIO;VIRTUAL;0;KURIOS;ASISTIO
6541050;Rimac Seguros y Reasegrs;28;Femenino;Empleado;ADMINISTRATIVOS;NACIONAL;LEARNING;7;1;1;0;NEGOCIO;VIRTUAL;0;KURIOS;ASISTIO
6510528;Rimac Seguros y Reasegrs;33;Masculino;Empleado FFVV;ATENCION AL CLIENTE;NACIONAL;LEARNING;7;1;1;0;NEGOCIO;VIRTUAL;0;KURIOS;ASISTIO
6536042;Rimac Seguros y Reasegrs;34;Femenino;Empleado;ADMINISTRATIVOS;NACIONAL;LEARNING;7;1;1;0;NEGOCIO;VIRTUAL;0;KURIOS;ASISTIO
6503153;Rimac Seguros y Reasegrs;37;Masculino;Empleado;ADMINISTRATIVOS;NACIONAL;LEARNING;7;1;1;0;NEGOCIO;VIRTUAL;0;KURIOS;ASISTIO
6541374;Rimac Seguros y Reasegrs;40;Femenino;Empleado FFVV;ATENCION AL CLIENTE;NACIONAL;LEARNING;7;1;1;0;NEGOCIO;VIRTUAL;0;KURIOS;ASISTIO
